"Williamson, Zion",71,-0.03,"Williamson, Zion",NOR,22,29,33.0,26.0,0.24,.368,7.0,4.6,1.10,0.55,.608,16.2,.714,8.6,3.4,2.2,1.39,-1.28,0.46,0.28,0.33,-0.18,2.55,-2.01,-1.79
"Okongwu, Onyeka",72,-0.03,"Okongwu, Onyeka",ATL,22,81,23.1,9.9,0.05,.308,7.2,1.0,0.70,1.37,.640,6.2,.783,2.4,1.0,3.1,-1.07,-1.46,0.54,-1.29,-0.69,1.42,1.25,-0.12,1.12
"Poeltl, Jakob",73,-0.03,"Poeltl, Jakob",TOR,27,73,26.6,12.4,0.00,.000,9.1,2.7,0.90,1.21,.630,8.5,.591,2.8,1.8,2.7,-0.69,-1.51,1.32,-0.53,-0.18,1.10,1.60,-1.59,0.18
"Dunn, Kris",74,-0.03,"Dunn, Kris",UTA,28,22,25.8,13.2,0.77,.472,4.5,5.6,1.14,0.45,.537,9.8,.774,2.4,1.6,2.6,-0.57,-0.79,-0.54,0.75,0.41,-0.37,0.58,-0.18,0.41
"Wright, Delon",75,-0.03,"Wright, Delon",WAS,30,50,24.4,7.3,0.80,.336,3.6,3.9,1.84,0.34,.471,5.8,.867,1.2,0.9,1.2,-1.46,-0.77,-0.93,-0.03,2.19,-0.60,-0.20,0.21,1.26
"Herro, Tyler",76,-0.05,"Herro, Tyler",MIA,22,68,34.9,20.2,3.01,.375,5.4,4.1,0.78,0.24,.441,16.6,.934,2.7,2.4,1.5,0.50,1.28,-0.20,0.08,-0.50,-0.80,-1.24,0.97,-0.55
"Maxey, Tyrese",77,-0.05,"Maxey, Tyrese",PHI,22,60,33.6,20.3,2.67,.432,2.9,3.5,0.82,0.13,.481,15.2,.845,3.6,1.3,2.2,0.52,0.96,-1.20,-0.18,-0.40,-1.00,-0.29,0.43,0.72
"Williams, Jalen",78,-0.05,"Williams, Jalen",OKC,21,76,30.5,14.0,0.96,.348,4.5,3.3,1.38,0.47,.517,10.6,.810,2.6,1.6,2.5,-0.44,-0.62,-0.57,-0.29,1.03,-0.33,0.33,0.06,0.36
"Anderson, Kyle",79,-0.05,"Anderson, Kyle",MIN,29,70,28.6,9.4,0.64,.409,5.3,5.0,1.17,0.96,.505,7.3,.735,1.9,1.5,2.2,-1.14,-0.91,-0.22,0.45,0.50,0.61,0.10,-0.35,0.48
"Porter, Michael",80,-0.06,"Porter, Michael",DEN,24,62,29.0,17.4,3.03,.414,5.5,1.0,0.60,0.47,.487,13.2,.800,1.9,1.1,1.9,0.08,1.30,-0.15,-1.28,-0.96,-0.35,-0.13,-0.01,1.00
"Trent, Gary",81,-0.06,"Trent, Gary",TOR,23,67,31.9,17.2,2.48,.365,2.6,1.6,1.55,0.22,.431,14.1,.839,3.1,0.8,1.5,0.04,0.79,-1.34,-1.04,1.46,-0.82,-1.24,0.32,1.33
"Vassell, Devin",82,-0.06,"Vassell, Devin",SAS,22,38,31.0,18.5,2.71,.387,3.9,3.6,1.13,0.45,.439,15.7,.780,2.6,1.5,1.5,0.24,1.00,-0.81,-0.16,0.40,-0.39,-1.21,-0.15,0.52
"Russell, D'Angelo",83,-0.07,"Russell, D'Angelo",LAL,26,72,32.3,17.6,2.69,.394,3.0,6.2,0.97,0.42,.467,13.3,.829,3.0,2.6,1.9,0.10,0.99,-1.16,1.00,-0.01,-0.45,-0.51,0.23,-0.79
"Melton, De'Anthony",84,-0.07,"Melton, De'Anthony",PHI,24,77,27.9,10.1,2.04,.390,4.1,2.6,1.64,0.53,.425,8.5,.793,1.1,1.3,2.5,-1.03,0.38,-0.74,-0.60,1.68,-0.22,-0.81,-0.03,0.73
"Sengun, Alperen",85,-0.07,"Sengun, Alperen",HOU,20,75,28.9,14.8,0.25,.333,9.0,3.9,0.93,0.92,.553,10.7,.715,3.8,2.6,3.4,-0.32,-1.27,1.31,-0.03,-0.11,0.54,0.87,-0.89,-0.76
